tab delimited	contribution
magic_version
3.0
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	lat_s	lat_n	lon_w	lon_e
Michipicoten Island	Region	This study	47.7022	47.7244	274.044128	274.3519
Two Island River	Outcrop	This study	47.524091	47.53669	269.06	269.07756
>>>>>>>>>>
tab delimited	sites
site	location	specimens	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	height	age	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_comp_name	dir_polarity	dir_nrm_origin	vgp_lat	vgp_lon	vgp_dp	vgp_dm	vgp_n_samples	description	criteria	software_packages	analysts
SLB07.10a	SLB07.10	LP-DIR-T:SLB07.10a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	282.9	56.6	8	hem	2	n	p	2.2	0.5	u			pmagpy-3.4.1
SLB07.1a	SLB07.1	LP-DIR-T:SLB07.1a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	207.9	-28.5	11	mag	2	n	p	6.3	2.9	u			pmagpy-3.4.1
SLB07.1a	SLB07.1	LP-DIR-T:SLB07.1a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	948	K	Extrusive	Lava Flow	Basalt	-1	211.2	-28.2	7	hem	2	n	p	0.9	0.3	u			pmagpy-3.4.1
SLB07.1a	SLB07.1	LP-DIR-T:SLB07.1a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	307.3	33.7	11	mag	2	n	p	6.3	2.9	u			pmagpy-3.4.1
SLB07.1a	SLB07.1	LP-DIR-T:SLB07.1a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	948	K	Extrusive	Lava Flow	Basalt	0	310.4	32.3	7	hem	2	n	p	0.9	0.3	u			pmagpy-3.4.1
SLB07.1a	SLB07.1	LP-DIR-T:SLB07.1a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	305.9	50.6	11	mag	2	n	p	6.3	2.9	u			pmagpy-3.4.1
SLB07.1a	SLB07.1	LP-DIR-T:SLB07.1a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	948	K	Extrusive	Lava Flow	Basalt	100	309.9	49.3	7	hem	2	n	p	0.9	0.3	u			pmagpy-3.4.1
SLB07.2a	SLB07.2	LP-DIR-T:SLB07.2a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	222.3	-18.6	11	mag	2	n	p	6.5	2.9	u			pmagpy-3.4.1
SLB07.2a	SLB07.2	LP-DIR-T:SLB07.2a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	-1	224.5	-18.6	12	hem	2	n	p	14.2	3.4	u			pmagpy-3.4.1
SLB07.2a	SLB07.2	LP-DIR-T:SLB07.2a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	300.3	35.3	11	mag	2	n	p	6.5	2.9	u			pmagpy-3.4.1
SLB07.2a	SLB07.2	LP-DIR-T:SLB07.2a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	0	301.9	33.6	12	hem	2	n	p	14.2	3.4	u			pmagpy-3.4.1
SLB07.2a	SLB07.2	LP-DIR-T:SLB07.2a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	296.4	51.8	11	mag	2	n	p	6.5	2.9	u			pmagpy-3.4.1
SLB07.2a	SLB07.2	LP-DIR-T:SLB07.2a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	298.8	50.3	12	hem	2	n	p	14.2	3.4	u			pmagpy-3.4.1
SLB07.3a	SLB07.3	LP-DIR-T:SLB07.3a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	190.7	-22.7	11	mag	2	n	p	2.6	1.2	u			pmagpy-3.4.1
SLB07.3a	SLB07.3	LP-DIR-T:SLB07.3a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	-1	189.7	-23.4	8	hem	2	n	p	0.8	1	u			pmagpy-3.4.1
SLB07.3a	SLB07.3	LP-DIR-T:SLB07.3a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	279.8	44	11	mag	2	n	p	2.6	1.2	u			pmagpy-3.4.1
SLB07.3a	SLB07.3	LP-DIR-T:SLB07.3a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	0	278.3	43.6	8	hem	2	n	p	0.8	1	u			pmagpy-3.4.1
SLB07.3a	SLB07.3	LP-DIR-T:SLB07.3a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	266.7	57.4	11	mag	2	n	p	2.6	1.2	u			pmagpy-3.4.1
SLB07.3a	SLB07.3	LP-DIR-T:SLB07.3a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	265	56.7	8	hem	2	n	p	0.8	1	u			pmagpy-3.4.1
SLB07.4a	SLB07.4	LP-DIR-T:SLB07.4a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	187	-30.3	11	mag	2	n	p	2	0.5	u			pmagpy-3.4.1
SLB07.4a	SLB07.4	LP-DIR-T:SLB07.4a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	-1	184.5	-31.1	8	hem	2	n	p	0.5	0.7	u			pmagpy-3.4.1
SLB07.4a	SLB07.4	LP-DIR-T:SLB07.4a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	291.8	40.2	11	mag	2	n	p	2	0.5	u			pmagpy-3.4.1
SLB07.4a	SLB07.4	LP-DIR-T:SLB07.4a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	0	288.8	39.7	8	hem	2	n	p	0.5	0.7	u			pmagpy-3.4.1
SLB07.4a	SLB07.4	LP-DIR-T:SLB07.4a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	284	55.8	11	mag	2	n	p	2	0.5	u			pmagpy-3.4.1
SLB07.4a	SLB07.4	LP-DIR-T:SLB07.4a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	280.2	54.9	8	hem	2	n	p	0.5	0.7	u			pmagpy-3.4.1
SLB07.5a	SLB07.5	LP-DIR-T:SLB07.5a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	176.7	-49.9	11	mag	2	n	p	5.8	1.4	u			pmagpy-3.4.1
SLB07.5a	SLB07.5	LP-DIR-T:SLB07.5a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	-1	176.7	-50.3	8	hem	2	n	p	1.8	2.2	u			pmagpy-3.4.1
SLB07.5a	SLB07.5	LP-DIR-T:SLB07.5a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	300.4	39	11	mag	2	n	p	5.8	1.4	u			pmagpy-3.4.1
SLB07.5a	SLB07.5	LP-DIR-T:SLB07.5a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	0	300.4	38.6	8	hem	2	n	p	1.8	2.2	u			pmagpy-3.4.1
SLB07.5a	SLB07.5	LP-DIR-T:SLB07.5a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	296	55.6	11	mag	2	n	p	5.8	1.4	u			pmagpy-3.4.1
SLB07.5a	SLB07.5	LP-DIR-T:SLB07.5a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	296	55.2	8	hem	2	n	p	1.8	2.2	u			pmagpy-3.4.1
SLB07.7a	SLB07.7	LP-DIR-T:SLB07.7a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	274.3	45.7	11	mag	2	n	p	8.5	0.5	u			pmagpy-3.4.1
SLB07.7a	SLB07.7	LP-DIR-T:SLB07.7a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	-1	272	45.9	8	hem	2	n	p	3.5	1.9	u			pmagpy-3.4.1
SLB07.7a	SLB07.7	LP-DIR-T:SLB07.7a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	287.6	43	11	mag	2	n	p	8.5	0.5	u			pmagpy-3.4.1
SLB07.7a	SLB07.7	LP-DIR-T:SLB07.7a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	0	285.6	43.7	8	hem	2	n	p	3.5	1.9	u			pmagpy-3.4.1
SLB07.7a	SLB07.7	LP-DIR-T:SLB07.7a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	277.3	57.9	11	mag	2	n	p	8.5	0.5	u			pmagpy-3.4.1
SLB07.7a	SLB07.7	LP-DIR-T:SLB07.7a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	274.3	58.2	8	hem	2	n	p	3.5	1.9	u			pmagpy-3.4.1
SLB07.8a	SLB07.8	LP-DIR-T:SLB07.8a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	299.2	50.3	11	mag	2	n	p	3.1	1.4	u			pmagpy-3.4.1
SLB07.8a	SLB07.8	LP-DIR-T:SLB07.8a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	-1	296	50.7	8	hem	2	n	p	1	0.3	u			pmagpy-3.4.1
SLB07.8a	SLB07.8	LP-DIR-T:SLB07.8a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	293.2	39.4	11	mag	2	n	p	3.1	1.4	u			pmagpy-3.4.1
SLB07.8a	SLB07.8	LP-DIR-T:SLB07.8a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	0	291	40.6	8	hem	2	n	p	1	0.3	u			pmagpy-3.4.1
SLB07.8a	SLB07.8	LP-DIR-T:SLB07.8a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	286.2	55.2	11	mag	2	n	p	3.1	1.4	u			pmagpy-3.4.1
SLB07.8a	SLB07.8	LP-DIR-T:SLB07.8a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	282.8	56	8	hem	2	n	p	1	0.3	u			pmagpy-3.4.1
SLB07.9a	SLB07.9	LP-DIR-T:SLB07.9a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	-1	255.2	49.8	11	mag	2	n	p	7.8	5.1	u			pmagpy-3.4.1
SLB07.9a	SLB07.9	LP-DIR-T:SLB07.9a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	-1	260.9	49.9	8	hem	2	n	p	1.2	0.9	u			pmagpy-3.4.1
SLB07.9a	SLB07.9	LP-DIR-T:SLB07.9a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	0	266.4	50.8	11	mag	2	n	p	7.8	5.1	u			pmagpy-3.4.1
SLB07.9a	SLB07.9	LP-DIR-T:SLB07.9a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	0	271.4	48.9	8	hem	2	n	p	1.2	0.9	u			pmagpy-3.4.1
SLB07.9a	SLB07.9	LP-DIR-T:SLB07.9a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	573	853	K	Extrusive	Lava Flow	Basalt	100	245.6	60.5	11	mag	2	n	p	7.8	5.1	u			pmagpy-3.4.1
SLB07.9a	SLB07.9	LP-DIR-T:SLB07.9a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	868	953	K	Extrusive	Lava Flow	Basalt	100	253	60	8	hem	2	n	p	1.2	0.9	u			pmagpy-3.4.1
SLB08.10a	SLB08.10	LP-DIR-T:SLB08.10a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	245.2	39	19	hem	2	n	p	1.9	0.1	u			pmagpy-3.4.1
SLB08.10a	SLB08.10	LP-DIR-T:SLB08.10a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	473	853	K	Extrusive	Lava Flow	Basalt	-1	250.5	39.7	13	mag	2	n	p	8.7	3.7	u			pmagpy-3.4.1
SLB08.10a	SLB08.10	LP-DIR-T:SLB08.10a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	290.1	38.1	19	hem	2	n	p	1.9	0.1	u			pmagpy-3.4.1
SLB08.10a	SLB08.10	LP-DIR-T:SLB08.10a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	473	853	K	Extrusive	Lava Flow	Basalt	0	292.3	34.3	13	mag	2	n	p	8.7	3.7	u			pmagpy-3.4.1
SLB08.10a	SLB08.10	LP-DIR-T:SLB08.10a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	282.4	53.4	19	hem	2	n	p	1.9	0.1	u			pmagpy-3.4.1
SLB08.10a	SLB08.10	LP-DIR-T:SLB08.10a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	473	853	K	Extrusive	Lava Flow	Basalt	100	286.4	50	13	mag	2	n	p	8.7	3.7	u			pmagpy-3.4.1
SLB08.1a	SLB08.1	LP-DIR-T:SLB08.1a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	222.4	-14	18	mag	2	n	p	1.9	0.1	u			pmagpy-3.4.1
SLB08.1a	SLB08.1	LP-DIR-T:SLB08.1a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	222.3	-13.9	9	hem	2	n	p	1	0.2	u			pmagpy-3.4.1
SLB08.1a	SLB08.1	LP-DIR-T:SLB08.1a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	290.1	39.6	18	mag	2	n	p	1.9	0.1	u			pmagpy-3.4.1
SLB08.1a	SLB08.1	LP-DIR-T:SLB08.1a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	0	290.1	39.7	9	hem	2	n	p	1	0.2	u			pmagpy-3.4.1
SLB08.1a	SLB08.1	LP-DIR-T:SLB08.1a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	282	54.9	18	mag	2	n	p	1.9	0.1	u			pmagpy-3.4.1
SLB08.1a	SLB08.1	LP-DIR-T:SLB08.1a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	100	282	55	9	hem	2	n	p	1	0.2	u			pmagpy-3.4.1
SLB08.2a	SLB08.2	LP-DIR-T:SLB08.2a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	220.5	-13.2	18	mag	2	n	p	2	0.1	u			pmagpy-3.4.1
SLB08.2a	SLB08.2	LP-DIR-T:SLB08.2a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	220.6	-13.2	9	hem	2	n	p	2.3	0.2	u			pmagpy-3.4.1
SLB08.2a	SLB08.2	LP-DIR-T:SLB08.2a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	291.2	42	18	mag	2	n	p	2	0.1	u			pmagpy-3.4.1
SLB08.2a	SLB08.2	LP-DIR-T:SLB08.2a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	0	291.3	42	9	hem	2	n	p	2.3	0.2	u			pmagpy-3.4.1
SLB08.2a	SLB08.2	LP-DIR-T:SLB08.2a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	282.6	57.5	18	mag	2	n	p	2	0.1	u			pmagpy-3.4.1
SLB08.2a	SLB08.2	LP-DIR-T:SLB08.2a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	100	282.7	57.5	9	hem	2	n	p	2.3	0.2	u			pmagpy-3.4.1
SLB08.3a	SLB08.3	LP-DIR-T:SLB08.3a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	223.7	5.1	18	mag	2	n	p	2.9	0.4	u			pmagpy-3.4.1
SLB08.3a	SLB08.3	LP-DIR-T:SLB08.3a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	221.9	5.1	9	hem	2	n	p	0.5	0.3	u			pmagpy-3.4.1
SLB08.3a	SLB08.3	LP-DIR-T:SLB08.3a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	290.9	40.7	18	mag	2	n	p	2.9	0.4	u			pmagpy-3.4.1
SLB08.3a	SLB08.3	LP-DIR-T:SLB08.3a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	0	289.4	42.1	9	hem	2	n	p	0.5	0.3	u			pmagpy-3.4.1
SLB08.3a	SLB08.3	LP-DIR-T:SLB08.3a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	282.7	56.1	18	mag	2	n	p	2.9	0.4	u			pmagpy-3.4.1
SLB08.3a	SLB08.3	LP-DIR-T:SLB08.3a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	100	280.1	57.3	9	hem	2	n	p	0.5	0.3	u			pmagpy-3.4.1
SLB08.4a	SLB08.4	LP-DIR-T:SLB08.4a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	217.8	-8.5	18	mag	2	n	p	2.6	0.7	u			pmagpy-3.4.1
SLB08.4a	SLB08.4	LP-DIR-T:SLB08.4a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	217.2	-8.2	9	hem	2	n	p	1.6	0.6	u			pmagpy-3.4.1
SLB08.4a	SLB08.4	LP-DIR-T:SLB08.4a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	290.2	40.2	18	mag	2	n	p	2.6	0.7	u			pmagpy-3.4.1
SLB08.4a	SLB08.4	LP-DIR-T:SLB08.4a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	0	290	40.8	9	hem	2	n	p	1.6	0.6	u			pmagpy-3.4.1
SLB08.4a	SLB08.4	LP-DIR-T:SLB08.4a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	281.9	55.5	18	mag	2	n	p	2.6	0.7	u			pmagpy-3.4.1
SLB08.4a	SLB08.4	LP-DIR-T:SLB08.4a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	100	281.4	56.1	9	hem	2	n	p	1.6	0.6	u			pmagpy-3.4.1
SLB08.5a	SLB08.5	LP-DIR-T:SLB08.5a	1.00E-03		b	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	89	7.4	19	mag	2	n	p	2.1	0.2	u			pmagpy-3.4.1
SLB08.5a	SLB08.5	LP-DIR-T:SLB08.5a	1.00E-03		b	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	88.8	7.5	9	hem	2	n	p	1.9	0.5	u			pmagpy-3.4.1
SLB08.5a	SLB08.5	LP-DIR-T:SLB08.5a	1.00E-03		b	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	152.6	2.6	19	mag	2	n	p	2.1	0.2	u			pmagpy-3.4.1
SLB08.5a	SLB08.5	LP-DIR-T:SLB08.5a	1.00E-03		b	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	0	152.4	2.4	9	hem	2	n	p	1.9	0.5	u			pmagpy-3.4.1
SLB08.5a	SLB08.5	LP-DIR-T:SLB08.5a	1.00E-03		b	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	153.1	-13.3	19	mag	2	n	p	2.1	0.2	u			pmagpy-3.4.1
SLB08.5a	SLB08.5	LP-DIR-T:SLB08.5a	1.00E-03		b	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	100	153	-13.5	9	hem	2	n	p	1.9	0.5	u			pmagpy-3.4.1
SLB08.6a	SLB08.6	LP-DIR-T:SLB08.6a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	225.2	-7.3	20	mag	2	n	p	3.2	0.3	u			pmagpy-3.4.1
SLB08.6a	SLB08.6	LP-DIR-T:SLB08.6a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	226.1	-7.4	9	hem	2	n	p	1.2	0.1	u			pmagpy-3.4.1
SLB08.6a	SLB08.6	LP-DIR-T:SLB08.6a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	290	37.8	20	mag	2	n	p	3.2	0.3	u			pmagpy-3.4.1
SLB08.6a	SLB08.6	LP-DIR-T:SLB08.6a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	0	290.5	37	9	hem	2	n	p	1.2	0.1	u			pmagpy-3.4.1
SLB08.6a	SLB08.6	LP-DIR-T:SLB08.6a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	282.4	53.2	20	mag	2	n	p	3.2	0.3	u			pmagpy-3.4.1
SLB08.6a	SLB08.6	LP-DIR-T:SLB08.6a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	100	283.3	52.4	9	hem	2	n	p	1.2	0.1	u			pmagpy-3.4.1
SLB08.7a	SLB08.7	LP-DIR-T:SLB08.7a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	222.2	2	19	mag	2	n	p	3.6	0.4	u			pmagpy-3.4.1
SLB08.7a	SLB08.7	LP-DIR-T:SLB08.7a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	220.3	2	9	hem	2	n	p	2.1	0.3	u			pmagpy-3.4.1
SLB08.7a	SLB08.7	LP-DIR-T:SLB08.7a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	287.9	40.7	19	mag	2	n	p	3.6	0.4	u			pmagpy-3.4.1
SLB08.7a	SLB08.7	LP-DIR-T:SLB08.7a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	0	286.2	42.2	9	hem	2	n	p	2.1	0.3	u			pmagpy-3.4.1
SLB08.7a	SLB08.7	LP-DIR-T:SLB08.7a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	100	278.6	55.7	19	mag	2	n	p	3.6	0.4	u			pmagpy-3.4.1
SLB08.7a	SLB08.7	LP-DIR-T:SLB08.7a	1.00E-03		g	DA-DIR-TILT:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	100	275.9	56.9	9	hem	2	n	p	2.1	0.3	u			pmagpy-3.4.1
SLB08.8a	SLB08.8	LP-DIR-T:SLB08.8a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	-1	221.9	-10.9	19	mag	2	n	p	3.7	0.1	u			pmagpy-3.4.1
SLB08.8a	SLB08.8	LP-DIR-T:SLB08.8a	1.00E-03		g	DA-DIR:DE-BFL:LP-DIR-T	This study	853	953	K	Extrusive	Lava Flow	Basalt	-1	221.8	-10.9	9	hem	2	n	p	1.7	0.3	u			pmagpy-3.4.1
SLB08.8a	SLB08.8	LP-DIR-T:SLB08.8a	1.00E-03		g	DA-DIR-GEO:DE-BFL:LP-DIR-T	This study	673	953	K	Extrusive	Lava Flow	Basalt	0	289.2	45.7	19	mag	2	n	p	3.7	0.1	u			pmagpy-3.4.1
